,,Deaths,Deaths,Deaths,Deaths,Population,Population,Population,Population
Race,,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White
State,Year,,,,,,,,
Arkansas,2001.0,30.0,51.0,3837.0,23841.0,20829.0,26157.0,429929.0,2214656.0
Arkansas,2002.0,51.0,94.0,3976.0,24392.0,21526.0,27954.0,432330.0,2224117.0
Arkansas,2003.0,62.0,61.0,3882.0,23913.0,22277.0,30087.0,435025.0,2237427.0
Arkansas,2004.0,50.0,42.0,3823.0,23613.0,23054.0,32575.0,438712.0,2255345.0
Arkansas,2005.0,53.0,61.0,3949.0,23992.0,24240.0,35186.0,442674.0,2278997.0
Arkansas,2006.0,68.0,76.0,3955.0,23802.0,25108.0,37822.0,450382.0,2308449.0
Arkansas,2007.0,67.0,80.0,3873.0,24171.0,26220.0,40045.0,453433.0,2328952.0
Arkansas,2008.0,77.0,101.0,3950.0,25194.0,27242.0,42091.0,458375.0,2346846.0
Arkansas,2009.0,69.0,130.0,3864.0,24610.0,28106.0,44948.0,462207.0,2361582.0
Arkansas,2010.0,51.0,109.0,3748.0,25008.0,29152.0,46899.0,466200.0,2373667.0
Arkansas,2011.0,76.0,123.0,3849.0,25605.0,30758.0,49347.0,471035.0,2386839.0
Arkansas,2012.0,43.0,127.0,3829.0,26118.0,30826.0,51892.0,473402.0,2393011.0
Arkansas,2013.0,53.0,146.0,3855.0,26383.0,31368.0,54338.0,475853.0,2397814.0
Arkansas,2014.0,59.0,169.0,3848.0,26391.0,31880.0,56223.0,478462.0,2399804.0
Arkansas,2015.0,65.0,174.0,3940.0,27438.0,32550.0,59280.0,481843.0,2404531.0
Arkansas,2016.0,82.0,174.0,4143.0,27357.0,32403.0,59992.0,484598.0,2411255.0
Arkansas,2017.0,85.0,209.0,4300.0,27994.0,33167.0,62867.0,487926.0,2420319.0
Arkansas,2018.0,65.0,157.0,4231.0,27883.0,33837.0,65231.0,489759.0,2424998.0
California,1999.0,867.0,14372.0,18015.0,196126.0,453029.0,4051272.0,2502469.0,26492434.0
California,2000.0,1023.0,14822.0,17813.0,195893.0,472692.0,4133030.0,2516935.0,26748991.0
California,2001.0,1039.0,15676.0,18388.0,198941.0,495065.0,4338380.0,2547829.0,27098184.0
California,2002.0,1060.0,16061.0,18726.0,198718.0,513001.0,4482498.0,2567326.0,27309018.0
California,2003.0,1247.0,16797.0,18888.0,202439.0,534792.0,4621258.0,2585567.0,27511542.0
California,2004.0,1255.0,16858.0,18685.0,195727.0,557610.0,4750147.0,2603152.0,27663667.0
California,2005.0,1226.0,17747.0,19116.0,198948.0,581877.0,4884264.0,2615407.0,27746395.0
California,2006.0,1286.0,18360.0,18817.0,198663.0,607308.0,5013374.0,2626937.0,27773583.0
California,2007.0,1364.0,18796.0,18701.0,194859.0,636353.0,5142253.0,2639369.0,27832336.0
California,2008.0,1411.0,19601.0,18305.0,195449.0,669667.0,5281970.0,2662354.0,27990346.0
California,2009.0,1385.0,19820.0,18133.0,193398.0,709279.0,5412716.0,2691724.0,28147510.0
California,2010.0,1472.0,20654.0,17800.0,194086.0,739342.0,5515120.0,2718779.0,28280715.0
California,2011.0,1580.0,21337.0,18516.0,198509.0,756441.0,5634880.0,2749509.0,28551082.0
California,2012.0,1593.0,22378.0,18456.0,200127.0,760492.0,5796976.0,2767389.0,28716573.0
California,2013.0,1762.0,23451.0,18888.0,204258.0,763452.0,5917918.0,2778851.0,28872300.0
California,2014.0,1758.0,23739.0,19109.0,201323.0,768510.0,6113222.0,2808562.0,29112206.0
California,2015.0,1963.0,26004.0,20131.0,211108.0,772709.0,6276070.0,2827821.0,29268218.0
California,2016.0,1990.0,26799.0,20631.0,212820.0,773355.0,6362798.0,2829264.0,29284600.0
California,2017.0,2055.0,28476.0,21014.0,216644.0,776662.0,6548662.0,2841787.0,29369542.0
California,2018.0,2065.0,29319.0,21478.0,215956.0,777959.0,6626166.0,2851095.0,29301825.0
Colorado,1999.0,128.0,240.0,1013.0,25733.0,53067.0,106980.0,183070.0,3882901.0
Colorado,2000.0,137.0,276.0,1016.0,25859.0,57458.0,113495.0,188402.0,3941906.0
Colorado,2001.0,170.0,296.0,965.0,26863.0,61132.0,122046.0,196376.0,4046133.0
Colorado,2002.0,146.0,285.0,1022.0,27757.0,63879.0,127631.0,201149.0,4097747.0
Colorado,2003.0,173.0,287.0,1077.0,27969.0,65942.0,132111.0,203049.0,4127630.0
Colorado,2004.0,141.0,315.0,959.0,26894.0,68901.0,136838.0,208322.0,4160952.0
Colorado,2005.0,166.0,330.0,1081.0,28050.0,72029.0,141835.0,211476.0,4206548.0
Colorado,2006.0,183.0,345.0,1004.0,27989.0,75455.0,147694.0,218810.0,4278464.0
