,,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths,Deaths
Age_Groups,,1-4 years,15-24 years,25-34 years,35-44 years,45-54 years,5-14 years,55-64 years,65-74 years,75-84 years,85+ years,< 1 year,Not Stated
State,Year,,,,,,,,,,,,
Arizona,2010.0,124.0,664.0,1016.0,1427.0,3479.0,125.0,5962.0,8088.0,11865.0,13486.0,522.0,
Arizona,2011.0,107.0,687.0,976.0,1502.0,3463.0,125.0,6166.0,8342.0,12198.0,14296.0,507.0,12.0
Arizona,2012.0,119.0,674.0,1078.0,1491.0,3438.0,129.0,6463.0,8923.0,12341.0,14383.0,504.0,
Arizona,2013.0,131.0,669.0,1100.0,1605.0,3477.0,126.0,6590.0,9239.0,12239.0,14890.0,451.0,17.0
Arizona,2014.0,98.0,640.0,1076.0,1594.0,3424.0,132.0,6703.0,9902.0,12486.0,14946.0,534.0,
Arizona,2015.0,104.0,673.0,1181.0,1638.0,3490.0,97.0,7039.0,10511.0,13245.0,15847.0,469.0,
Arizona,2016.0,120.0,756.0,1322.0,1608.0,3640.0,111.0,7315.0,11175.0,13547.0,16589.0,456.0,
Arizona,2017.0,100.0,739.0,1357.0,1772.0,3464.0,136.0,7215.0,11439.0,14240.0,16821.0,469.0,
Arizona,2018.0,114.0,859.0,1450.0,1720.0,3480.0,131.0,7458.0,11537.0,14893.0,17188.0,451.0,
Arkansas,1999.0,63.0,394.0,471.0,968.0,1734.0,109.0,2931.0,5395.0,8090.0,7476.0,292.0,
Arkansas,2000.0,75.0,410.0,504.0,1012.0,1808.0,101.0,3075.0,5259.0,8217.0,7439.0,316.0,
Arkansas,2001.0,74.0,413.0,509.0,1017.0,1865.0,83.0,3062.0,5226.0,7854.0,7345.0,309.0,
Arkansas,2002.0,59.0,452.0,524.0,1054.0,1967.0,97.0,3275.0,5174.0,7924.0,7673.0,312.0,
Arkansas,2003.0,68.0,428.0,502.0,1007.0,2079.0,75.0,3299.0,4961.0,7748.0,7424.0,327.0,
Arkansas,2004.0,78.0,423.0,565.0,1002.0,2116.0,100.0,3413.0,4930.0,7456.0,7126.0,319.0,
Arkansas,2005.0,71.0,462.0,524.0,1005.0,2138.0,79.0,3526.0,5083.0,7364.0,7494.0,309.0,
Arkansas,2006.0,67.0,460.0,575.0,1050.0,2198.0,79.0,3578.0,4808.0,7388.0,7346.0,350.0,
Arkansas,2007.0,72.0,437.0,532.0,1033.0,2294.0,81.0,3592.0,4937.0,7434.0,7461.0,317.0,
Arkansas,2008.0,67.0,437.0,610.0,1019.0,2401.0,69.0,3818.0,5318.0,7497.0,7786.0,300.0,
Arkansas,2009.0,65.0,379.0,586.0,995.0,2405.0,78.0,3790.0,5301.0,7222.0,7544.0,307.0,
Arkansas,2010.0,63.0,367.0,578.0,904.0,2365.0,68.0,3805.0,5320.0,7317.0,7846.0,282.0,
Arkansas,2011.0,54.0,372.0,604.0,888.0,2335.0,67.0,4121.0,5508.0,7281.0,8136.0,286.0,
Arkansas,2012.0,68.0,374.0,591.0,910.0,2262.0,95.0,4244.0,5789.0,7438.0,8076.0,269.0,
Arkansas,2013.0,54.0,341.0,594.0,918.0,2194.0,82.0,4326.0,6063.0,7580.0,7997.0,288.0,
Arkansas,2014.0,46.0,327.0,591.0,981.0,2278.0,79.0,4369.0,6167.0,7492.0,7847.0,290.0,
Arkansas,2015.0,43.0,377.0,586.0,999.0,2242.0,71.0,4531.0,6548.0,7845.0,8081.0,293.0,
Arkansas,2016.0,56.0,351.0,631.0,1026.0,2152.0,69.0,4695.0,6595.0,7696.0,8176.0,309.0,
Arkansas,2017.0,52.0,394.0,614.0,1012.0,2197.0,72.0,4737.0,6881.0,8066.0,8255.0,307.0,
Arkansas,2018.0,62.0,365.0,620.0,983.0,2059.0,78.0,4655.0,6766.0,8262.0,8207.0,279.0,
California,1999.0,602.0,3102.0,4357.0,9227.0,16051.0,811.0,22661.0,41859.0,66732.0,61097.0,2800.0,81.0
California,2000.0,580.0,3104.0,4214.0,9289.0,16430.0,846.0,22896.0,40249.0,66809.0,62132.0,2894.0,108.0
