Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
9/30/2020,2/1/2020,9/26/2020,IA,Washington County,19183,11,153
9/30/2020,2/1/2020,9/26/2020,ID,Nez Perce County,16069,23,378
9/30/2020,2/1/2020,9/26/2020,IL,Boone County,17007,11,226
9/30/2020,2/1/2020,9/26/2020,IL,Jackson County,17077,44,423
9/30/2020,2/1/2020,9/26/2020,IL,Kane County,17089,280,"2,525"
9/30/2020,2/1/2020,9/26/2020,IN,Floyd County,18043,82,750
9/30/2020,2/1/2020,9/26/2020,IN,Johnson County,18081,89,823
9/30/2020,2/1/2020,9/26/2020,IN,Knox County,18083,17,337
9/30/2020,2/1/2020,9/26/2020,IN,Marion County,18097,942,"7,580"
9/30/2020,2/1/2020,9/26/2020,IN,St. Joseph County,18141,108,"2,062"
9/30/2020,2/1/2020,9/26/2020,IN,Tipton County,18159,25,126
9/30/2020,2/1/2020,9/26/2020,IN,Warrick County,18173,31,648
9/30/2020,2/1/2020,9/26/2020,KS,Douglas County,20045,16,530
9/30/2020,2/1/2020,9/26/2020,AL,Barbour County,1005,10,182
9/30/2020,2/1/2020,9/26/2020,AL,Bibb County,1007,15,125
9/30/2020,2/1/2020,9/26/2020,AL,Cullman County,1043,27,683
9/30/2020,2/1/2020,9/26/2020,AL,Dale County,1045,52,344
9/30/2020,2/1/2020,9/26/2020,AL,Jefferson County,1073,565,"6,662"
9/30/2020,2/1/2020,9/26/2020,AL,Marion County,1093,23,270
9/30/2020,2/1/2020,9/26/2020,AL,Marshall County,1095,49,802
9/30/2020,2/1/2020,9/26/2020,AR,Benton County,5007,101,"1,282"
9/30/2020,2/1/2020,9/26/2020,AR,Faulkner County,5045,25,697
9/30/2020,2/1/2020,9/26/2020,AR,Garland County,5051,74,"1,211"
9/30/2020,2/1/2020,9/26/2020,AR,Pope County,5115,21,443
9/30/2020,2/1/2020,9/26/2020,AR,Randolph County,5121,10,113
9/30/2020,2/1/2020,9/26/2020,AZ,Coconino County,4005,126,853
9/30/2020,2/1/2020,9/26/2020,AZ,Mohave County,4015,186,"2,438"
9/30/2020,2/1/2020,9/26/2020,AZ,Yavapai County,4025,76,"2,145"
9/30/2020,2/1/2020,9/26/2020,CO,Pueblo County,8101,32,"1,444"
9/30/2020,2/1/2020,9/26/2020,CT,Tolland County,9013,47,470
